date,Close,Open,High,Low,Volume
2016/12/30,53.72,53.87,54.09,53.41,271.09K
2016/12/29,53.77,53.66,54.21,53.46,360.19K
2016/12/28,54.06,53.93,54.37,53.56,322.54K
2016/12/27,53.9,53.29,54.1,53.03,277.31K
2016/12/26,53.19,53.33,53.34,53.14,-
2016/12/23,53.02,52.68,53.28,52.26,285.17K
2016/12/22,52.95,52.52,53.19,52.08,393.49K
2016/12/21,52.49,53.56,53.79,52.32,471.99K
2016/12/20,52.23,52.11,52.7,51.85,26.17K
2016/12/19,52.12,52.15,52.52,51.51,129.99K
2016/12/16,51.9,51.1,52.08,50.5,252.57K
2016/12/15,50.9,50.79,51.48,49.95,551.76K
2016/12/14,51.04,52.45,52.78,50.67,677.96K
2016/12/13,52.98,52.51,53.41,52.35,638.40K
2016/12/12,52.83,52.58,54.51,52.18,847.03K
2016/12/9,51.5,50.92,51.66,50.86,652.04K
2016/12/8,50.84,49.88,50.98,49.61,780.06K
2016/12/7,49.77,50.93,51.2,49.72,816.88K
2016/12/6,50.93,50.97,51.6,50.28,642.75K
2016/12/5,51.79,51.46,52.42,50.93,600.78K
2016/12/2,51.68,51.01,51.73,50.18,667.10K
2016/12/1,51.06,49.07,51.8,48.98,974.81K
2016/11/30,49.44,45.24,49.9,45.22,1.31M
2016/11/29,45.23,46.88,46.98,44.82,732.82K
2016/11/28,47.08,45.43,47.65,45.14,734.38K
2016/11/25,46.06,47.97,48.26,45.88,465.98K
2016/11/24,47.98,48.03,48.26,47.8,-
2016/11/23,47.96,47.94,48.43,47.4,556.86K
2016/11/22,48.03,48.37,49.2,47.17,826.21K
2016/11/21,47.49,45.83,47.8,45.77,34.92K
2016/11/18,45.69,44.93,45.77,44.55,155.65K
2016/11/17,45.42,45.37,46.58,44.88,284.87K
2016/11/16,45.57,45.77,46.41,45.03,658.17K
2016/11/15,45.81,43.76,46.09,43.55,706.18K
2016/11/14,43.32,43.2,43.81,42.2,704.77K
2016/11/11,43.41,44.35,44.63,43.03,631.14K
2016/11/10,44.66,45.31,45.64,44.25,686.34K
2016/11/9,45.27,44.82,45.95,43.07,946.51K
2016/11/8,44.98,44.97,45.39,44.41,669.64K
2016/11/7,44.89,44.45,45.01,44.11,605.73K
2016/11/4,44.07,44.63,44.87,43.57,736.69K
2016/11/3,44.66,45.48,45.9,44.37,540.44K
2016/11/2,45.34,46.32,46.47,44.96,674.32K
2016/11/1,46.67,46.77,47.35,46.2,834.99K
2016/10/31,46.86,48.25,48.74,46.63,649.24K
2016/10/28,48.7,49.61,49.81,48.42,550.08K
2016/10/27,49.72,49.22,50.06,49,543.17K
2016/10/26,49.18,49.31,50.1,48.87,679.32K
2016/10/25,49.96,50.49,50.93,49.27,553.78K
2016/10/24,50.52,50.85,50.98,49.62,623.40K
2016/10/21,50.85,50.66,51.02,50.21,551.30K
2016/10/20,50.43,51.4,51.58,50.25,24.86K
2016/10/19,51.6,50.77,51.93,50.69,132.43K
2016/10/18,50.29,50.04,50.78,49.76,192.80K
2016/10/17,49.94,50.23,50.58,49.47,418.72K
2016/10/14,50.35,50.58,51.14,49.9,519.43K
2016/10/13,50.44,50,50.59,49.36,740.68K
2016/10/12,50.18,50.84,51.17,49.89,533.88K
2016/10/11,50.79,51.1,51.54,50.39,765.61K
2016/10/10,51.35,49.57,51.6,49.15,686.07K
2016/10/7,49.81,50.59,50.74,49.4,618.81K
2016/10/6,50.44,49.65,50.63,49.33,547.92K
2016/10/5,49.83,49.26,49.97,49.1,520.07K
2016/10/4,48.69,48.65,49.26,48.26,513.71K
2016/10/3,48.81,48.04,49.02,47.78,458.02K
2016/9/30,48.24,47.76,48.3,47.04,496.52K
2016/9/29,47.83,47.2,48.32,46.6,702.65K
2016/9/28,47.05,44.96,47.45,44.35,1.01M
2016/9/27,44.67,45.62,45.96,44.19,630.76K
2016/9/26,45.93,44.62,46.2,44.43,527.12K
2016/9/23,44.48,46.07,46.55,44.22,718.40K
2016/9/22,46.32,45.62,46.52,45.52,521.68K
2016/9/21,45.34,44.5,45.65,44.5,585.99K
2016/9/20,43.44,43.13,44.05,42.55,37.38K
2016/9/19,43.3,43.18,44.15,43.12,129.86K
2016/9/16,43.03,43.71,43.75,42.74,231.19K
2016/9/15,43.91,43.7,44.34,43.26,537.19K
2016/9/14,43.58,45,45.33,43.42,705.86K
2016/9/13,44.9,46.06,46.13,44.77,657.78K
