date,Close,Open,High,Low,Volume
2016/12/30,"1,151.70","1,159.50","1,164.30","1,150.30",143.85K
2016/12/29,"1,158.10","1,143.10","1,160.60","1,142.60",158.03K
2016/12/28,"1,139.20","1,138.50","1,143.00","1,136.60",1.57K
2016/12/27,"1,137.40","1,134.20","1,149.30","1,132.70",0.97K
2016/12/26,"1,134.55","1,135.00","1,136.05","1,134.00",-
2016/12/25,"1,135.00","1,135.00","1,135.00","1,135.00",-
2016/12/23,"1,132.00","1,130.30","1,135.30","1,129.90",0.33K
2016/12/22,"1,129.10","1,131.60","1,133.50","1,127.70",0.20K
2016/12/21,"1,131.60","1,132.40","1,136.80","1,129.70",0.33K
2016/12/20,"1,132.00","1,138.50","1,139.20","1,126.60",0.82K
2016/12/19,"1,141.00","1,134.10","1,142.10","1,134.10",1.07K
2016/12/16,"1,135.90","1,129.60","1,141.50","1,127.50",1.72K
2016/12/15,"1,128.60","1,143.60","1,144.20","1,124.70",1.47K
2016/12/14,"1,162.40","1,158.10","1,166.60","1,140.70",1.40K
2016/12/13,"1,157.80","1,164.10","1,165.20","1,155.30",0.78K
2016/12/12,"1,164.70","1,158.00","1,166.10","1,151.40",1.09K
2016/12/9,"1,160.60","1,170.60","1,172.10","1,157.60",0.85K
2016/12/8,"1,171.10","1,174.90","1,179.30","1,169.80",0.57K
2016/12/7,"1,176.20","1,169.90","1,180.70","1,167.40",0.83K
2016/12/6,"1,168.80","1,170.90","1,175.50","1,167.00",0.57K
2016/12/5,"1,175.20","1,179.30","1,188.50","1,158.00",1.64K
2016/12/2,"1,176.50","1,173.20","1,178.40","1,167.20",1.35K
2016/12/1,"1,168.10","1,174.10","1,177.00","1,161.00",1.65K
2016/11/30,"1,172.40","1,188.70","1,195.00","1,169.70",2.32K
2016/11/29,"1,189.30","1,195.00","1,196.00","1,181.10",2.22K
2016/11/28,"1,190.80","1,184.40","1,197.20","1,182.40",189.91K
2016/11/25,"1,178.40","1,189.40","1,192.70","1,170.30",300.28K
2016/11/24,"1,185.55","1,189.20","1,190.30","1,179.75",-
2016/11/23,"1,189.30","1,212.60","1,214.70","1,181.20",367.81K
2016/11/22,"1,211.20","1,213.50","1,220.90","1,205.60",210.55K
2016/11/21,"1,209.80","1,207.30","1,217.80","1,205.40",167.83K
2016/11/18,"1,208.70","1,216.00","1,217.50","1,201.30",257.11K
2016/11/17,"1,216.90","1,224.80","1,231.10","1,210.50",237.79K
2016/11/16,"1,223.90","1,228.00","1,233.10","1,221.00",204.45K
2016/11/15,"1,224.50","1,221.80","1,231.40","1,218.60",234.17K
2016/11/14,"1,221.70","1,227.70","1,230.90","1,211.00",351.97K
2016/11/11,"1,224.30","1,258.70","1,265.00","1,218.70",444.59K
2016/11/10,"1,266.40","1,278.40","1,292.50","1,251.90",413.56K
2016/11/9,"1,273.50","1,276.80","1,338.30","1,268.10",816.53K
2016/11/8,"1,274.50","1,282.20","1,291.50","1,273.30",202.50K
2016/11/7,"1,279.40","1,294.50","1,296.50","1,278.60",221.68K
2016/11/4,"1,304.50","1,303.20","1,308.30","1,295.70",217.45K
2016/11/3,"1,303.30","1,298.10","1,308.00","1,286.20",228.55K
2016/11/2,"1,308.20","1,289.00","1,309.30","1,288.40",241.70K
2016/11/1,"1,288.00","1,277.80","1,292.90","1,276.30",207.26K
2016/10/31,"1,273.10","1,278.30","1,280.50","1,271.90",123.70K
2016/10/28,"1,276.80","1,269.20","1,285.40","1,262.00",232.89K
2016/10/27,"1,268.20","1,265.00","1,272.20","1,265.00",0.34K
2016/10/26,"1,265.20","1,272.70","1,275.10","1,264.30",0.89K
2016/10/25,"1,272.20","1,263.80","1,275.10","1,263.80",0.45K
2016/10/24,"1,262.40","1,265.40","1,270.70","1,260.40",0.55K
2016/10/21,"1,266.40","1,263.40","1,267.20","1,261.00",0.26K
2016/10/20,"1,266.10","1,269.00","1,274.20","1,264.40",0.39K
2016/10/19,"1,268.40","1,262.40","1,272.10","1,260.00",0.62K
2016/10/18,"1,261.50","1,255.20","1,263.30","1,254.50",0.43K
2016/10/17,"1,255.10","1,250.50","1,256.10","1,249.80",0.12K
2016/10/14,"1,254.00","1,257.90","1,257.90","1,246.90",0.37K
2016/10/13,"1,256.10","1,254.00","1,262.00","1,253.70",0.42K
2016/10/12,"1,252.30","1,254.80","1,257.50","1,250.00",0.53K
2016/10/11,"1,254.20","1,260.10","1,262.10","1,253.00",0.42K
2016/10/10,"1,258.70","1,257.60","1,265.10","1,257.20",0.58K
2016/10/7,"1,250.30","1,255.00","1,265.40","1,242.00",0.78K
2016/10/6,"1,251.40","1,267.90","1,269.30","1,250.60",0.79K
2016/10/5,"1,266.90","1,269.50","1,277.30","1,262.80",0.54K
2016/10/4,"1,268.20","1,313.40","1,313.40","1,267.80",1.61K
2016/10/3,"1,310.70","1,319.10","1,320.00","1,310.00",0.35K
2016/9/30,"1,315.10","1,323.70","1,329.20","1,314.90",0.59K
2016/9/29,"1,324.00","1,324.90","1,326.70","1,317.00",0.76K
2016/9/28,"1,319.40","1,326.40","1,326.90","1,316.90",10.55K
2016/9/27,"1,326.00","1,338.10","1,338.90","1,323.30",19.95K
2016/9/26,"1,339.80","1,336.60","1,341.80","1,332.50",7.36K
2016/9/23,"1,337.50","1,336.60","1,340.20","1,333.60",5.69K
2016/9/22,"1,340.70","1,333.40","1,343.40","1,331.40",5.87K
2016/9/21,"1,327.20","1,314.10","1,337.00","1,306.70",8.90K
2016/9/20,"1,314.00","1,312.40","1,317.10","1,311.30",14.03K
2016/9/19,"1,313.80","1,308.90","1,317.50","1,308.70",4.33K
2016/9/16,"1,306.20","1,314.50","1,317.00","1,305.40",8.17K
2016/9/15,"1,314.00","1,321.70","1,328.00","1,308.20",9.85K
2016/9/14,"1,322.00","1,318.50","1,325.80","1,312.70",4.42K
2016/9/13,"1,319.60","1,326.90","1,331.60","1,314.80",6.71K
2016/9/12,"1,321.60","1,327.70","1,329.80","1,319.20",8.02K
2016/9/9,"1,330.70","1,338.00","1,339.60","1,327.30",3.88K
2016/9/8,"1,337.80","1,345.00","1,349.50","1,335.50",4.42K
2016/9/7,"1,345.30","1,349.50","1,353.80","1,343.20",5.82K
2016/9/6,"1,350.40","1,323.40","1,353.30","1,322.10",9.08K
2016/9/5,"1,331.10","1,326.35","1,332.15","1,325.55",-
2016/9/4,"1,326.25","1,328.20","1,328.75","1,326.15",-
2016/9/2,"1,323.20","1,314.10","1,330.30","1,304.00",6.87K
2016/9/1,"1,313.60","1,308.20","1,315.10","1,302.10",5.37K
2016/8/31,"1,307.90","1,311.20","1,315.60","1,303.60",4.11K
2016/8/30,"1,313.00","1,323.20","1,325.40","1,308.60",3.73K
2016/8/29,"1,322.60","1,318.70","1,323.20","1,314.30",0.44K
2016/8/26,"1,321.40","1,320.10","1,340.80","1,317.00",1.11K
2016/8/25,"1,320.00","1,323.30","1,325.90","1,316.50",1.26K
2016/8/24,"1,324.30","1,336.50","1,338.20","1,321.90",0.93K
2016/8/23,"1,340.30","1,335.00","1,343.10","1,334.10",0.40K
2016/8/22,"1,337.60","1,339.20","1,339.20","1,330.00",0.95K
2016/8/19,"1,340.50","1,350.90","1,350.90","1,336.90",0.50K
2016/8/18,"1,351.20","1,347.60","1,354.90","1,345.20",0.67K
2016/8/17,"1,343.20","1,346.80","1,349.90","1,335.00",1.07K
2016/8/16,"1,351.00","1,341.70","1,358.00","1,341.00",1.36K
2016/8/15,"1,341.30","1,337.00","1,342.40","1,334.90",0.61K
2016/8/12,"1,336.80","1,337.30","1,355.10","1,333.40",1.16K
2016/8/11,"1,343.50","1,346.60","1,352.00","1,335.70",0.84K
2016/8/10,"1,345.30","1,340.70","1,356.60","1,340.70",1.08K
2016/8/9,"1,339.90","1,333.60","1,341.70","1,329.20",1.42K
2016/8/8,"1,334.20","1,332.80","1,336.50","1,328.90",2.76K
2016/8/5,"1,337.30","1,359.10","1,363.00","1,333.70",4.21K
2016/8/4,"1,359.70","1,356.60","1,363.60","1,347.90",3.52K
2016/8/3,"1,357.00","1,363.20","1,366.20","1,353.80",3.00K
2016/8/2,"1,365.70","1,352.90","1,367.20","1,347.00",3.34K
