date,Close,Open,High,Low,Volume
2016/12/30,150.66,149.88,150.75,149.72,137.15K
2016/12/29,149.91,149.66,150.38,149.53,119.29K
2016/12/28,149.72,148.56,149.78,148.5,118.22K
2016/12/27,148.56,148.97,149.03,148.22,63.93K
2016/12/26,148.89,148.86,148.92,148.8,-
2016/12/23,149.13,148.91,149.38,148.78,68.10K
2016/12/22,148.81,149.13,149.34,148.38,127.32K
2016/12/21,148.94,148.72,149.19,148.13,139.20K
2016/12/20,149.88,150.09,150.09,149.56,0.36K
2016/12/19,150.31,149.09,150.41,149.09,0.34K
2016/12/16,149.03,150.5,150.5,148.81,0.28K
2016/12/15,149.94,149.25,150.06,148.91,2.34K
2016/12/14,149.84,151.03,151.44,149.09,1.15K
2016/12/13,150.22,150.19,151.09,150,4.16K
2016/12/12,150,149.63,150.09,148.78,1.91K
2016/12/9,149.88,150.94,151.06,149.53,1.33K
2016/12/8,151.34,152.47,152.56,150.59,1.95K
2016/12/7,152.56,151.69,152.78,151.66,1.71K
2016/12/6,151.66,151.97,152.34,151.53,3.95K
2016/12/5,152.13,152.38,152.94,150.72,8.53K
2016/12/2,151.88,150.69,152.25,150.69,10.37K
2016/12/1,150.88,152.34,152.38,149.75,19.99K
2016/11/30,152.66,154.19,154.34,151.5,90.13K
2016/11/29,154.13,153.75,154.34,153.09,262.87K
2016/11/28,153.69,153.13,153.91,153.13,436.72K
2016/11/25,152.81,152.94,153.38,151.97,224.97K
2016/11/24,152.55,152.95,153.02,152.39,-
2016/11/23,152.91,153.44,153.69,151.59,500.92K
2016/11/22,153.25,153.75,154.28,153.19,386.86K
2016/11/21,153.19,152.91,153.88,152.81,280.49K
2016/11/18,153.16,153.22,154.25,152.38,373.79K
2016/11/17,153.78,155.22,155.38,153.13,324.27K
2016/11/16,155.03,154.66,155.28,153.31,364.41K
2016/11/15,154.28,153.91,155.5,153.84,363.88K
2016/11/14,154.41,155.28,155.44,152.75,481.39K
2016/11/11,155.16,155.81,156.38,155,125.42K
2016/11/10,156.22,157.31,158.53,155.5,670.23K
2016/11/9,156.97,162.25,164.97,156.69,829.80K
2016/11/8,162.09,162.63,163.22,161.72,244.89K
2016/11/7,162.59,162.69,163,162.34,165.17K
2016/11/4,163.34,162.72,163.81,162.53,249.04K
2016/11/3,162.72,163.19,163.94,162.41,235.23K
2016/11/2,163.25,162.81,163.91,162.75,302.24K
2016/11/1,163.06,162.81,163.28,161.69,315.22K
2016/10/31,162.72,162.38,162.91,162,206.22K
