date,Close,Open,High,Low,Volume
2016/12/30,102.286,102.24,102.63,101.95,38.08K
2016/12/29,102.711,103.195,103.21,102.65,31.94K
2016/12/28,103.244,102.98,103.575,102.86,19.85K
2016/12/27,103.007,103.055,103.14,102.97,8.16K
2016/12/23,103.002,103.095,103.205,102.86,11.98K
2016/12/22,103.096,102.97,103.15,102.59,22.64K
2016/12/21,103.029,103.285,103.375,102.75,21.10K
2016/12/20,103.288,103.09,103.625,102.975,29.63K
2016/12/19,102.9,102.815,103.11,102.545,1.22K
2016/12/16,102.954,103.13,103.27,102.62,13.42K
2016/12/15,103.053,102.48,103.565,102.16,57.74K
2016/12/14,101.77,101.05,102.345,100.75,66.53K
2016/12/13,101.107,100.97,101.195,100.785,36.79K
2016/12/12,101.049,101.645,101.82,100.86,38.20K
2016/12/9,101.62,101.15,101.77,101.04,30.12K
2016/12/8,101.125,100.24,101.275,99.49,75.79K
2016/12/7,100.268,100.57,100.63,100.18,26.70K
2016/12/6,100.53,100.18,100.615,100.01,32.30K
2016/12/5,100.112,101.555,101.8,99.87,80.45K
2016/12/2,100.861,100.95,101.175,100.705,41.18K
2016/12/1,101.099,101.56,101.615,100.95,35.28K
2016/11/30,101.539,100.98,101.88,100.92,45.37K
2016/11/29,100.949,101.27,101.69,100.94,38.83K
2016/11/28,101.368,101.43,101.63,100.675,46.06K
2016/11/25,101.546,101.84,101.97,101.245,31.66K
2016/11/24,101.759,101.81,102.12,101.525,16.92K
2016/11/23,101.759,101.105,101.96,100.96,43.01K
2016/11/22,101.106,100.835,101.37,100.71,33.99K
2016/11/21,101.113,101.4,101.51,100.81,41.84K
2016/11/18,101.283,101.07,101.54,100.89,57.29K
2016/11/17,100.946,100.285,101.01,99.98,55.29K
2016/11/16,100.438,100.07,100.6,99.915,43.02K
2016/11/15,100.25,99.81,100.28,99.475,43.94K
2016/11/14,100.12,99.135,100.24,99.1,54.25K
2016/11/11,99.05,98.825,99.13,98.545,33.35K
2016/11/10,98.774,98.535,99.08,98.32,39.89K
2016/11/9,98.529,98.08,98.695,95.905,88.38K
2016/11/8,97.86,97.79,97.99,97.56,18.01K
2016/11/7,97.793,97.34,97.885,97.245,19.69K
2016/11/4,97.088,97.225,97.38,96.94,18.87K
2016/11/3,97.196,97.44,97.48,97.07,24.23K
2016/11/2,97.414,97.77,97.795,97.175,27.79K
2016/11/1,97.697,98.39,98.46,97.62,25.45K
2016/10/31,98.422,98.285,98.675,98.275,13.52K
2016/10/28,98.342,98.905,98.92,98.225,23.97K
2016/10/27,98.879,98.6,99.005,98.485,20.81K
2016/10/26,98.611,98.71,98.815,98.315,22.72K
2016/10/25,98.682,98.75,99.09,98.585,23.46K
2016/10/24,98.752,98.68,98.825,98.54,15.33K
2016/10/21,98.686,98.3,98.795,98.3,20.05K
2016/10/20,98.314,97.885,98.4,97.655,32.38K
2016/10/19,97.94,97.91,97.975,97.655,17.94K
2016/10/18,97.897,97.78,97.965,97.6,16.77K
2016/10/17,97.878,98.12,98.15,97.8,15.36K
2016/10/14,97.997,97.63,98.1,97.52,26.26K
2016/10/13,97.518,98,98.12,97.51,28.20K
2016/10/12,97.962,97.52,98.05,97.475,31.66K
2016/10/11,97.692,96.93,97.745,96.93,29.65K
2016/10/10,96.933,96.52,96.965,96.485,16.36K
2016/10/7,96.654,96.85,97.215,96.405,49.51K
2016/10/6,96.772,96.135,96.785,96.115,26.14K
2016/10/5,96.114,96.08,96.31,95.94,23.77K
2016/10/4,96.125,95.665,96.39,95.66,42.19K
2016/10/3,95.587,95.435,95.735,95.39,15.63K
2016/9/30,95.385,95.47,95.895,95.25,32.73K
2016/9/29,95.472,95.315,95.625,95.245,16.75K
2016/9/28,95.336,95.39,95.66,95.285,14.83K
2016/9/27,95.312,95.25,95.58,95.145,13.88K
2016/9/26,95.21,95.39,95.445,95.02,10.78K
2016/9/23,95.392,95.31,95.605,95.28,16.22K
2016/9/22,95.381,95.455,95.49,94.95,24.31K
2016/9/21,95.665,95.945,96.305,95.32,29.37K
2016/9/20,95.976,95.775,95.985,95.525,16.02K
2016/9/19,95.77,96.03,96.045,95.79,0.67K
2016/9/16,96.105,95.26,96.12,95.235,14.90K
2016/9/15,95.283,95.34,95.56,95.055,15.65K
2016/9/14,95.322,95.55,95.66,95.195,29.84K
2016/9/13,95.645,95.095,95.675,95.08,25.80K
2016/9/12,95.088,95.315,95.45,94.925,31.11K
2016/9/9,95.328,94.975,95.58,94.82,30.82K
2016/9/8,95.051,94.99,95.135,94.44,33.16K
2016/9/7,94.951,94.82,95.05,94.675,16.52K
2016/9/6,94.823,95.775,95.855,94.755,26.76K
2016/9/5,95.844,95.88,95.89,95.55,5.05K
2016/9/2,95.844,95.65,95.965,95.175,34.95K
2016/9/1,95.66,96.015,96.245,95.595,19.22K
2016/8/31,96.012,95.99,96.25,95.895,23.73K
2016/8/30,96.041,95.52,96.125,95.505,20.77K
2016/8/29,95.543,95.55,95.805,95.445,17.79K
2016/8/26,95.542,94.675,95.585,94.2,41.26K
2016/8/25,94.743,94.76,94.8,94.555,7.78K
2016/8/24,94.747,94.55,94.87,94.47,13.90K
2016/8/23,94.494,94.545,94.565,94.195,15.64K
2016/8/22,94.499,94.57,94.94,94.425,13.92K
2016/8/19,94.483,94.18,94.6,94.18,24.05K
2016/8/18,94.137,94.6,94.63,94.05,22.34K
2016/8/17,94.69,94.76,95.085,94.49,22.95K
