date,Close,Open,High,Low
2016/12/30,2.446,2.477,2.488,2.431
2016/12/29,2.477,2.512,2.512,2.46
2016/12/28,2.512,2.565,2.567,2.503
2016/12/27,2.561,2.554,2.576,2.547
2016/12/26,2.543,2.543,2.543,2.543
2016/12/23,2.543,2.556,2.558,2.526
2016/12/22,2.553,2.535,2.577,2.527
2016/12/21,2.538,2.566,2.577,2.537
2016/12/20,2.56,2.54,2.59,2.538
2016/12/19,2.544,2.582,2.595,2.529
2016/12/18,2.582,2.584,2.584,2.58
2016/12/16,2.599,2.6,2.619,2.553
2016/12/15,2.606,2.58,2.641,2.565
2016/12/14,2.567,2.471,2.586,2.422
2016/12/13,2.473,2.468,2.495,2.438
2016/12/12,2.477,2.489,2.528,2.466
2016/12/11,2.488,2.466,2.493,2.466
2016/12/9,2.466,2.412,2.478,2.397
2016/12/8,2.409,2.345,2.427,2.34
2016/12/7,2.344,2.396,2.401,2.342
2016/12/6,2.392,2.398,2.403,2.374
2016/12/5,2.401,2.363,2.448,2.34
2016/12/4,2.365,2.354,2.376,2.352
2016/12/2,2.392,2.437,2.448,2.374
2016/12/1,2.454,2.397,2.492,2.377
2016/11/30,2.39,2.295,2.41,2.291
2016/11/29,2.293,2.312,2.35,2.291
2016/11/28,2.312,2.339,2.352,2.311
2016/11/27,2.341,2.359,2.359,2.337
2016/11/25,2.359,2.382,2.413,2.35
2016/11/24,2.382,2.382,2.386,2.382
2016/11/23,2.355,2.312,2.417,2.292
2016/11/22,2.314,2.303,2.337,2.287
2016/11/21,2.314,2.353,2.357,2.303
2016/11/20,2.353,2.348,2.36,2.348
2016/11/18,2.348,2.322,2.364,2.267
2016/11/17,2.297,2.205,2.306,2.187
2016/11/16,2.214,2.226,2.297,2.205
2016/11/15,2.23,2.251,2.251,2.182
2016/11/14,2.254,2.171,2.302,2.168
2016/11/13,2.173,2.178,2.182,2.173
2016/11/10,2.138,2.042,2.154,1.991
2016/11/9,2.068,1.858,2.092,1.716
2016/11/8,1.858,1.826,1.876,1.807
2016/11/7,1.828,1.831,1.833,1.808
2016/11/6,1.83,1.83,1.833,1.826
2016/11/4,1.778,1.806,1.822,1.769
2016/11/3,1.81,1.804,1.833,1.776
2016/11/2,1.801,1.829,1.829,1.774
2016/11/1,1.827,1.838,1.879,1.811
2016/10/31,1.826,1.84,1.854,1.826
2016/10/30,1.841,1.849,1.849,1.84
2016/10/28,1.849,1.854,1.879,1.832
2016/10/27,1.85,1.797,1.87,1.791
2016/10/26,1.791,1.754,1.797,1.742
2016/10/25,1.758,1.766,1.788,1.742
2016/10/24,1.766,1.742,1.775,1.724
2016/10/23,1.74,1.74,1.74,1.74
2016/10/21,1.736,1.761,1.761,1.731
2016/10/20,1.756,1.75,1.768,1.724
2016/10/19,1.747,1.745,1.77,1.729
2016/10/18,1.74,1.771,1.787,1.74
2016/10/17,1.768,1.789,1.814,1.757
2016/10/16,1.789,1.805,1.805,1.787
2016/10/15,1.805,1.805,1.805,1.805
2016/10/14,1.805,1.752,1.805,1.75
2016/10/13,1.746,1.767,1.769,1.727
2016/10/12,1.771,1.769,1.801,1.764
2016/10/11,1.767,1.767,1.781,1.745
2016/10/10,1.765,1.723,1.765,1.723
2016/10/7,1.723,1.732,1.771,1.718
2016/10/6,1.739,1.709,1.746,1.692
2016/10/5,1.706,1.685,1.73,1.669
2016/10/4,1.69,1.629,1.692,1.612
2016/10/3,1.627,1.6,1.629,1.593
2016/10/2,1.6,1.598,1.605,1.598
2016/9/30,1.598,1.553,1.617,1.536
2016/9/29,1.558,1.586,1.601,1.543
2016/9/28,1.572,1.558,1.581,1.543
2016/9/27,1.56,1.589,1.606,1.546
2016/9/26,1.584,1.617,1.62,1.574
2016/9/25,1.615,1.62,1.62,1.615
2016/9/24,1.62,1.62,1.62,1.62
2016/9/23,1.62,1.623,1.632,1.606
2016/9/22,1.618,1.649,1.656,1.608
2016/9/21,1.655,1.689,1.738,1.653
2016/9/20,1.693,1.708,1.71,1.667
2016/9/19,1.707,1.693,1.714,1.679
2016/9/18,1.694,1.694,1.694,1.694
2016/9/17,1.694,1.694,1.694,1.694
2016/9/16,1.694,1.689,1.703,1.66
2016/9/15,1.698,1.696,1.736,1.665
2016/9/14,1.698,1.725,1.743,1.682
2016/9/13,1.729,1.661,1.752,1.637
2016/9/12,1.666,1.668,1.697,1.659
2016/9/11,1.67,1.675,1.675,1.67
2016/9/9,1.675,1.602,1.678,1.594
2016/9/8,1.601,1.541,1.62,1.529
2016/9/7,1.536,1.541,1.549,1.519
2016/9/6,1.536,1.609,1.62,1.534
2016/9/5,1.609,1.607,1.611,1.607
2016/9/2,1.607,1.571,1.623,1.543
2016/9/1,1.568,1.58,1.619,1.556
2016/8/31,1.578,1.57,1.585,1.554
2016/8/30,1.57,1.573,1.592,1.561
2016/8/29,1.563,1.626,1.626,1.559
2016/8/28,1.626,1.63,1.631,1.624
2016/8/26,1.628,1.571,1.635,1.531
2016/8/25,1.578,1.564,1.583,1.548
2016/8/24,1.563,1.556,1.57,1.542
2016/8/23,1.546,1.551,1.571,1.527
2016/8/22,1.544,1.597,1.6,1.536
2016/8/21,1.597,1.597,1.599,1.595
2016/8/19,1.58,1.546,1.594,1.536
2016/8/18,1.534,1.539,1.566,1.525
2016/8/17,1.549,1.568,1.588,1.537
2016/8/16,1.575,1.554,1.587,1.515
2016/8/15,1.558,1.512,1.561,1.498
2016/8/14,1.512,1.51,1.512,1.508
2016/8/13,1.51,1.51,1.51,1.51
2016/8/12,1.51,1.559,1.563,1.48
2016/8/11,1.561,1.505,1.576,1.503
2016/8/10,1.513,1.545,1.545,1.501
2016/8/9,1.549,1.59,1.597,1.535
2016/8/8,1.592,1.595,1.616,1.571
2016/8/7,1.595,1.599,1.599,1.595
2016/8/6,1.59,1.59,1.59,1.59
2016/8/5,1.59,1.501,1.592,1.487
2016/8/4,1.503,1.544,1.556,1.484
2016/8/3,1.545,1.559,1.571,1.53
2016/8/2,1.554,1.52,1.573,1.511
2016/8/1,1.52,1.463,1.527,1.463
2016/7/31,1.463,1.45,1.463,1.45
2016/7/29,1.45,1.501,1.564,1.45
2016/7/28,1.508,1.504,1.535,1.492
2016/7/27,1.503,1.563,1.59,1.498
2016/7/26,1.563,1.568,1.589,1.537
2016/7/25,1.575,1.571,1.592,1.554
2016/7/24,1.573,1.566,1.577,1.566
2016/7/22,1.566,1.549,1.601,1.537
2016/7/21,1.556,1.58,1.628,1.554
2016/7/20,1.58,1.559,1.596,1.546
2016/7/19,1.558,1.573,1.575,1.537
2016/7/18,1.582,1.575,1.604,1.556
2016/7/17,1.558,1.558,1.558,1.558
2016/7/15,1.558,1.52,1.601,1.517
2016/7/14,1.537,1.471,1.551,1.466
2016/7/13,1.473,1.508,1.508,1.459
2016/7/12,1.507,1.425,1.531,1.422
2016/7/11,1.43,1.366,1.435,1.358
2016/7/10,1.366,1.358,1.366,1.358
2016/7/8,1.358,1.39,1.442,1.346
2016/7/7,1.385,1.37,1.422,1.355
2016/7/6,1.373,1.367,1.395,1.321
2016/7/5,1.375,1.439,1.441,1.357
2016/7/4,1.441,1.456,1.456,1.439
2016/7/1,1.456,1.471,1.473,1.382
2016/6/30,1.475,1.512,1.546,1.453
2016/6/29,1.517,1.465,1.519,1.454
2016/6/28,1.465,1.439,1.483,1.428
2016/6/27,1.444,1.507,1.526,1.436
2016/6/26,1.509,1.514,1.516,1.5
2016/6/24,1.562,1.682,1.704,1.406
2016/6/23,1.744,1.702,1.749,1.694
2016/6/22,1.687,1.697,1.711,1.68
2016/6/21,1.709,1.671,1.711,1.661
2016/6/20,1.678,1.656,1.69,1.642
2016/6/19,1.656,1.654,1.658,1.652
2016/6/17,1.611,1.589,1.622,1.582
2016/6/16,1.579,1.57,1.581,1.518
2016/6/15,1.575,1.613,1.637,1.572
2016/6/14,1.613,1.611,1.625,1.567
2016/6/13,1.613,1.625,1.64,1.608
2016/6/12,1.623,1.644,1.644,1.622
2016/6/10,1.644,1.68,1.683,1.627
2016/6/9,1.682,1.704,1.709,1.659
2016/6/8,1.704,1.719,1.721,1.697
2016/6/7,1.716,1.733,1.744,1.704
2016/6/6,1.737,1.704,1.742,1.704
2016/6/5,1.706,1.699,1.706,1.697
2016/6/3,1.702,1.808,1.813,1.697
2016/6/2,1.799,1.837,1.841,1.796
2016/6/1,1.839,1.844,1.856,1.804
2016/5/31,1.851,1.86,1.89,1.83
2016/5/30,1.862,1.851,1.865,1.851
2016/5/27,1.851,1.833,1.855,1.821
2016/5/26,1.83,1.86,1.87,1.821
2016/5/25,1.872,1.859,1.882,1.849
2016/5/24,1.865,1.838,1.88,1.821
2016/5/23,1.835,1.838,1.856,1.818
2016/5/22,1.837,1.844,1.844,1.835
2016/5/20,1.844,1.849,1.868,1.837
2016/5/19,1.847,1.849,1.883,1.83
2016/5/18,1.859,1.774,1.887,1.764
2016/5/17,1.772,1.753,1.776,1.736
2016/5/16,1.757,1.702,1.757,1.7
2016/5/15,1.702,1.695,1.702,1.695
2016/5/13,1.702,1.752,1.755,1.7
2016/5/12,1.748,1.724,1.765,1.715
2016/5/11,1.735,1.767,1.77,1.721
2016/5/10,1.754,1.753,1.775,1.747
2016/5/9,1.751,1.789,1.793,1.747
2016/5/8,1.789,1.788,1.789,1.784
2016/5/6,1.779,1.756,1.786,1.705
2016/5/5,1.742,1.793,1.809,1.735
2016/5/4,1.777,1.807,1.817,1.77
2016/5/3,1.796,1.856,1.858,1.782
2016/5/2,1.872,1.83,1.874,1.81
2016/5/1,1.828,1.826,1.83,1.826
2016/4/29,1.835,1.839,1.876,1.816
2016/4/28,1.824,1.847,1.872,1.81
2016/4/27,1.852,1.922,1.923,1.851
2016/4/26,1.931,1.907,1.941,1.89
2016/4/25,1.914,1.891,1.914,1.865
2016/4/24,1.891,1.891,1.895,1.891
2016/4/22,1.891,1.868,1.897,1.847
2016/4/21,1.865,1.84,1.891,1.833
2016/4/20,1.845,1.78,1.859,1.752
2016/4/19,1.787,1.783,1.806,1.771
2016/4/18,1.771,1.726,1.787,1.722
2016/4/17,1.726,1.726,1.727,1.724
2016/4/15,1.753,1.787,1.799,1.74
2016/4/14,1.792,1.773,1.804,1.752
2016/4/13,1.766,1.778,1.797,1.757
2016/4/12,1.776,1.729,1.785,1.725
2016/4/11,1.722,1.732,1.755,1.698
2016/4/10,1.732,1.717,1.734,1.717
2016/4/8,1.717,1.701,1.738,1.699
2016/4/7,1.687,1.758,1.769,1.685
2016/4/6,1.758,1.732,1.774,1.729
2016/4/5,1.72,1.764,1.764,1.715
2016/4/4,1.762,1.765,1.791,1.753
2016/4/3,1.765,1.774,1.774,1.765
2016/4/1,1.774,1.784,1.814,1.762
2016/3/31,1.77,1.816,1.832,1.769
2016/3/30,1.828,1.809,1.862,1.804
2016/3/29,1.804,1.883,1.898,1.8
2016/3/28,1.883,1.914,1.918,1.863
2016/3/27,1.914,1.907,1.914,1.907
2016/3/24,1.9,1.884,1.902,1.852
2016/3/23,1.879,1.951,1.954,1.872
2016/3/22,1.944,1.919,1.946,1.879
2016/3/21,1.917,1.893,1.924,1.868
2016/3/20,1.877,1.877,1.877,1.877
2016/3/18,1.877,1.901,1.901,1.863
2016/3/17,1.898,1.908,1.919,1.854
2016/3/16,1.913,1.97,2.002,1.908
2016/3/15,1.968,1.963,1.975,1.915
2016/3/14,1.961,1.979,1.986,1.941
2016/3/13,1.977,1.98,1.98,1.972
2016/3/11,1.98,1.932,1.986,1.916
2016/3/10,1.936,1.876,1.952,1.855
2016/3/9,1.88,1.829,1.897,1.825
2016/3/8,1.831,1.908,1.909,1.804
2016/3/7,1.904,1.879,1.92,1.876
2016/3/6,1.879,1.885,1.885,1.878
2016/3/4,1.876,1.835,1.902,1.818
2016/3/3,1.835,1.834,1.863,1.814
2016/3/2,1.835,1.816,1.872,1.804
2016/3/1,1.827,1.737,1.837,1.702
2016/2/29,1.738,1.757,1.768,1.73
2016/2/28,1.757,1.764,1.764,1.755
