model,stock,entire_exp_time,avg_test_ACC,avg_test_MCC
CONV_BILSTM_ATTENTION,AAPL,143.0480363368988,0.4828125,0.06791035566281478,0.08352612997481396
CONV_BILSTM_ATTENTION,AMZN,136.95030283927917,0.496875,0.054486236794258416,0.0
CONV_BILSTM_ATTENTION,BA,139.5974555015564,0.521875,0.04901370981674413,0.0
CONV_BILSTM_ATTENTION,BAC,138.4061164855957,0.484375,0.0897587913521567,0.0
CONV_BILSTM_ATTENTION,BHP,140.96989798545837,0.48125,0.05448623679425842,0.10930546507031681
CONV_BILSTM_ATTENTION,BRK-B,138.5861837863922,0.4921875,0.040894538525945004,0.0
CONV_BILSTM_ATTENTION,CHL,136.00756931304932,0.509375,0.06924537439425106,0.11927667558259851
CONV_BILSTM_ATTENTION,CMCSA,141.74951004981995,0.5203125,0.0559235317755415,0.015019349877480085
CONV_BILSTM_ATTENTION,CVX,140.22300052642822,0.503125,0.06875,-0.10762440050012628
CONV_BILSTM_ATTENTION,D,138.926682472229,0.528125,0.07322109071162489,0.0
CONV_BILSTM_ATTENTION,DCM,140.2543125152588,0.4890625,0.03128903811640748,0.0
CONV_BILSTM_ATTENTION,DIS,141.03223991394043,0.5125,0.053125,0.0
CONV_BILSTM_ATTENTION,DOW,141.18159127235413,0.4640625,0.05459814128017546,0.0
CONV_BILSTM_ATTENTION,DUK,136.7316038608551,0.5546875,0.0495339608879605,0.0
CONV_BILSTM_ATTENTION,EXC,140.51445174217224,0.5078125,0.06141638752197983,0.057616044624748175
CONV_BILSTM_ATTENTION,GE,143.01252126693726,0.5046875,0.048938936760518206,0.0
CONV_BILSTM_ATTENTION,GOOGL,140.97556161880493,0.528125,0.06510208329999893,0.27475662250225863
CONV_BILSTM_ATTENTION,HD,139.3491907119751,0.5203125,0.08502354912757994,0.0
CONV_BILSTM_ATTENTION,INTC,141.9056990146637,0.53125,0.046351240544347895,0.0
CONV_BILSTM_ATTENTION,JNJ,141.02360820770264,0.4921875,0.06141638752197983,0.05501903637039413
CONV_BILSTM_ATTENTION,JPM,138.62602853775024,0.50625,0.04950931099298394,-0.10535731680150401
CONV_BILSTM_ATTENTION,KO,139.0241186618805,0.5234375,0.04264795019986307,0.038395331411533284
CONV_BILSTM_ATTENTION,MA,139.0996401309967,0.5015625,0.06069663937360947,-0.1194070900728051
CONV_BILSTM_ATTENTION,MMM,141.0800759792328,0.46875,0.06882098607982888,0.0
CONV_BILSTM_ATTENTION,MO,144.79304337501526,0.5546875,0.043216614643560414,0.0
CONV_BILSTM_ATTENTION,MRK,141.92004799842834,0.4984375,0.046587660987111174,0.1210898699241207
CONV_BILSTM_ATTENTION,MSFT,138.53200840950012,0.5125,0.06658523672707037,0.0
CONV_BILSTM_ATTENTION,NGG,141.56668734550476,0.5140625,0.05609788459692576,0.0
CONV_BILSTM_ATTENTION,NTT,143.72817087173462,0.490625,0.049999999999999996,0.05013806979968223
CONV_BILSTM_ATTENTION,NVS,140.59847831726074,0.5125,0.04180965050081141,0.0
CONV_BILSTM_ATTENTION,ORCL,140.70306277275085,0.5296875,0.0410137648387709,0.22721652007844526
CONV_BILSTM_ATTENTION,PEP,138.64603304862976,0.4890625,0.03893729935742848,-0.11468185313135519
CONV_BILSTM_ATTENTION,PFE,138.96110463142395,0.50625,0.039651804813904755,0.0
CONV_BILSTM_ATTENTION,PG,143.3733024597168,0.4734375,0.03893729935742848,-0.04260429614980358
CONV_BILSTM_ATTENTION,PTR,144.15846419334412,0.525,0.057706829101935586,0.17796484599023626
CONV_BILSTM_ATTENTION,RDS-B,150.18412327766418,0.5171875,0.07072793936097671,0.0
CONV_BILSTM_ATTENTION,RIO,140.04512000083923,0.49375,0.03365728004459065,-0.0010820172848339962
CONV_BILSTM_ATTENTION,SO,145.18768072128296,0.5140625,0.03918730063745141,0.08738077349703083
CONV_BILSTM_ATTENTION,SPY,141.82901620864868,0.5234375,0.08156489460086368,0.0
CONV_BILSTM_ATTENTION,SYT,140.39040541648865,0.496875,0.05029211543572213,0.0
CONV_BILSTM_ATTENTION,T,139.80529284477234,0.5046875,0.07907238080549997,0.0
CONV_BILSTM_ATTENTION,TM,139.23116397857666,0.471875,0.05266343608235224,0.0
CONV_BILSTM_ATTENTION,TOT,140.49245882034302,0.521875,0.06562499999999999,0.0
CONV_BILSTM_ATTENTION,UNH,140.98855781555176,0.5140625,0.053422878116496125,0.11468185313135519
CONV_BILSTM_ATTENTION,UPS,139.59981226921082,0.478125,0.04375,0.0
CONV_BILSTM_ATTENTION,VALE,140.29440188407898,0.51875,0.040019526483955306,0.0
CONV_BILSTM_ATTENTION,VZ,143.03702545166016,0.528125,0.04180965050081141,0.0
CONV_BILSTM_ATTENTION,WFC,140.1793074607849,0.4875,0.05358258812338202,0.0778902520624173
CONV_BILSTM_ATTENTION,WMT,141.9813232421875,0.5,0.0554632479665589,0.00807265799494138
CONV_BILSTM_ATTENTION,XOM,142.4736077785492,0.515625,0.06327642728536433,-0.09436299464320372
